,AAAA,AAAB,AABA,AABB,ABAA,ABAB,ABBA,ABBB,BAAA,BAAB,BABA,BABB,BBAA,BBAB,BBBA,BBBB
AAAA,0.00019044895,0.0001353235,0.00014463812,0.0001206547,4.437496e-05,2.7748523e-05,3.7785154e-05,2.3190165e-05,-7.869769e-05,-6.5097585e-05,-7.514469e-05,-5.355943e-05,-1.3625715e-05,7.534167e-06,-1.0658754e-05,2.0336593e-05
AAAB,0.00013631582,0.00020788843,0.000101535115,0.0001824745,2.8967857e-05,5.1835086e-05,2.5112415e-05,4.5306748e-05,-0.00010332186,-7.588277e-05,-9.067636e-05,-6.5726694e-05,9.2666596e-07,-1.3746321e-06,6.009359e-06,9.848503e-06
AABA,0.0001583402,0.00011515105,0.00019573746,0.00016068574,3.5729492e-05,2.568774e-05,5.371915e-05,3.2182084e-05,-8.190842e-05,-5.931314e-05,-8.204626e-05,-7.0065726e-05,-5.657552e-06,1.80637e-05,-2.6592286e-05,1.4756806e-06
AABB,0.00011435477,0.00018203491,0.00013844762,0.00022950675,2.4481444e-05,4.6663918e-05,3.5065226e-05,5.8661448e-05,-9.670528e-05,-7.1177725e-05,-0.00010958081,-7.875031e-05,1.2701377e-05,8.633593e-06,-1.5706057e-05,-7.734168e-06
ABAA,4.511373e-05,2.8582988e-05,2.263533e-05,3.1124568e-05,0.00012799865,8.404115e-05,0.000102463644,6.51516e-05,-1.4669495e-05,7.16839e-06,-4.776288e-06,2.0005275e-05,-4.165899e-05,-2.2715889e-05,-4.003942e-05,-8.05594e-06
ABAB,2.7792994e-05,5.3406227e-05,8.696923e-06,4.659826e-05,8.705165e-05,0.0001473343,7.066922e-05,0.0001239269,-5.5879354e-07,-1.009088e-06,1.2335135e-05,1.0637334e-05,-4.4888817e-05,-3.5148114e-05,-3.7650112e-05,-2.3514964e-05
ABBA,3.5773963e-05,2.5211368e-05,4.04662e-05,4.3748645e-05,0.000102164224,6.812764e-05,0.000145128,9.7231474e-05,-8.37585e-06,1.6223872e-05,-2.0033913e-05,1.1618249e-06,-3.7499238e-05,-1.2304168e-05,-5.404232e-05,-3.0592084e-05
ABBB,2.3068627e-05,4.712399e-05,1.9766623e-05,6.308057e-05,6.995862e-05,0.00012542866,0.00010122359,0.0001638853,1.0369346e-05,8.0817845e-06,-9.157229e-06,-7.1479008e-06,-3.30708e-05,-2.6559457e-05,-6.269291e-05,-4.2487867e-05
BAAA,-8.302415e-05,-0.000109910034,-0.00010195281,-9.877654e-05,-1.9992935e-05,-6.6752546e-06,-1.2647128e-05,5.9660524e-06,0.00029621506,0.00017417595,0.00024908455,0.00014063809,8.102227e-05,4.0871324e-05,5.8333157e-05,3.1050295e-05
BAAB,-6.590225e-05,-7.8673474e-05,-7.681269e-05,-7.614121e-05,4.5350753e-06,-6.751623e-06,1.2603123e-05,4.8785005e-06,0.00017233845,0.00019948883,0.00013849698,0.00016301544,4.095561e-05,5.1572453e-05,2.2962922e-05,3.9417297e-05
BABA,-7.928163e-05,-9.585312e-05,-0.00010164082,-0.0001084893,-9.131851e-06,9.716488e-06,-2.5581568e-05,-1.4288817e-05,0.0002488154,0.00014122948,0.0003026561,0.00018132757,6.5095956e-05,3.088871e-05,7.752096e-05,4.4634333e-05
BABB,-5.4868404e-05,-6.799819e-05,-8.810079e-05,-8.1793405e-05,1.7871382e-05,7.9071615e-06,-4.7988724e-06,-1.2767967e-05,0.00013809744,0.0001631626,0.00017739926,0.0002102172,3.086473e-05,3.9721606e-05,3.4567434e-05,5.6049554e-05
BBAA,-1.7803395e-05,-8.268282e-06,-2.5929185e-05,7.935334e-06,-5.0945673e-05,-5.495269e-05,-4.7889072e-05,-4.3604523e-05,8.491124e-05,4.3008244e-05,6.745313e-05,3.16801e-05,0.00020032376,0.000112213194,0.0001573381,8.724723e-05
BBAB,6.2542967e-06,-5.5888668e-06,-3.9068982e-07,2.5148038e-06,-2.3634639e-05,-3.569899e-05,-1.4813151e-05,-2.7009286e-05,4.0342333e-05,5.221553e-05,2.8599985e-05,3.9006816e-05,0.00010548718,0.00013812538,7.174397e-05,0.00010838732
BBBA,-8.197501e-06,6.4843334e-06,-3.746827e-05,-8.989591e-06,-4.142197e-05,-3.7467573e-05,-5.541928e-05,-6.142398e-05,6.6970475e-05,3.153202e-05,8.803932e-05,4.6067405e-05,0.00016242312,8.5282605e-05,0.00020348653,0.00012078183
BBBB,1.8762657e-05,7.5825956e-06,-1.7157989e-05,-1.2324657e-05,-8.17189e-06,-2.1822285e-05,-3.1921547e-05,-3.9868057e-05,2.9111281e-05,3.9449427e-05,4.1261083e-05,5.6286575e-05,7.849885e-05,0.00010704482,0.00010398682,0.00014841603
